EA,T,value
0,7240,6.6707100218366426e-09
0,7241,6.670701787388058e-09
0,7242,6.670700383393679e-09
0,7243,6.670706915796471e-09
0,7244,6.670733611824502e-09
0,7245,6.670783535295045e-09
0,7246,6.670916146142228e-09
0,7247,6.6722475187645786e-09
0,7248,3889.8491165565692
0,7249,8570.114076229569
0,7250,10785.152746841177
0,7251,12635.533841545706
0,7252,12272.509134311103
0,7253,8325.55147541174
0,7254,67.20053173185721
0,7255,6.670837856355668e-09
0,7256,6.6707730021972476e-09
0,7257,6.670793435677019e-09
0,7258,6.670805269061023e-09
0,7259,6.67085003925003e-09
0,7260,6.671038278713279e-09
0,7261,6.671213383725353e-09
0,7262,6.670952081113521e-09
0,7263,6.67082703874628e-09
0,7264,6.670762244995708e-09
0,7265,6.670733949395084e-09
0,7266,6.6707229585268e-09
0,7267,6.670720338592908e-09
0,7268,6.6707394072281626e-09
0,7269,6.6707659252937244e-09
0,7270,6.67082801076995e-09
0,7271,6.6710382426034176e-09
0,7272,6.671085702387154e-09
0,7273,6.6711805030862575e-09
0,7274,6.671021449782215e-09
0,7275,6.670892086069717e-09
0,7276,6.670826512383066e-09
0,7277,6.670767746125723e-09
0,7278,6.670732888560009e-09
0,7279,6.6707151414249015e-09
0,7280,6.67071506173943e-09
0,7281,6.670732034412832e-09
0,7282,6.670763615581414e-09
0,7283,6.670784058122744e-09
0,7284,6.670887862153578e-09
0,7285,6.671145360206813e-09
0,7286,6.671053155465487e-09
0,7287,6.670781512265271e-09
0,7288,6.670725411461371e-09
0,7289,6.670713161218572e-09
0,7290,6.670722407868987e-09
0,7291,6.670736534960614e-09
0,7292,6.670794234838205e-09
0,7293,6.671031497193015e-09
0,7294,6.671991657875259e-09
0,7295,3133.508905014022
0,7296,3220.444299443345
0,7297,3903.9290121945096
0,7298,4292.067222839119
0,7299,2534.6123945826102
0,7300,942.5012564278483
0,7301,6.671880914475335e-09
0,7302,6.670981047450737e-09
0,7303,6.6708361646250434e-09
0,7304,6.670774497060475e-09
0,7305,6.670763524488103e-09
0,7306,6.670771533536985e-09
0,7307,6.670827478397037e-09
0,7308,6.671280639408526e-09
0,7309,6.671647761548303e-09
0,7310,6.671361991725716e-09
0,7311,6.671002507926617e-09
0,7312,6.6708970560736515e-09
0,7313,6.670849938984199e-09
0,7314,6.670924668482064e-09
0,7315,6.671136086875707e-09
0,7316,6.686033474285853e-09
0,7317,3099.304138912493
0,7318,8256.0811843337
0,7319,13031.320794196963
0,7320,13031.320794196961
0,7321,13031.320794196963
