IA,T,value
0,6200,2.1747281289934833e-06
0,6201,2.174705184064974e-06
0,6202,1.6455995532618437e-06
0,6203,1.644758765136957e-06
0,6204,1.6447567166150145e-06
0,6205,1.644758011604304e-06
0,6206,2.1746271204083067e-06
0,6207,2.1747229363702422e-06
0,6208,2.17473155620187e-06
0,6209,2.174739977708418e-06
0,6210,2.1747440360371777e-06
0,6211,2.1747415139016825e-06
0,6212,2.1747376172888324e-06
0,6213,2.1747329991407376e-06
0,6214,2.174730793748402e-06
0,6215,2.1747283822921674e-06
0,6216,2.174725430278317e-06
0,6217,2.1747236383265305e-06
0,6218,2.174721690188265e-06
0,6219,2.1747223096291787e-06
0,6220,2.1747239279037035e-06
0,6221,2.1747268058799896e-06
0,6222,2.174729357290678e-06
0,6223,2.174728645670679e-06
0,6224,2.174720130339444e-06
0,6225,2.1745386131989328e-06
0,6226,1.3160326428646608e-06
0,6227,1.3160291136074791e-06
0,6228,1.3160281319337525e-06
0,6229,1.3160279090209184e-06
0,6230,1.3160283087929308e-06
0,6231,1.3160306000388998e-06
0,6232,2.174677172999285e-06
0,6233,2.1747199840254933e-06
0,6234,2.1747230276366464e-06
0,6235,2.1747234095793877e-06
0,6236,2.174722895474353e-06
0,6237,2.174720343351127e-06
0,6238,2.1747141720014542e-06
0,6239,2.1746946911923443e-06
0,6240,2.1746476766620546e-06
0,6241,2.1746037808959093e-06
0,6242,2.174588273797483e-06
0,6243,2.1745986112844257e-06
0,6244,2.1746601050244303e-06
0,6245,2.1746950183479646e-06
0,6246,2.1747038944613505e-06
0,6247,2.1746960952250503e-06
0,6248,2.1744860217312936e-06
0,6249,5.1505927130659e-07
0,6250,5.150585453283932e-07
0,6251,5.150584407412643e-07
0,6252,5.150584158513435e-07
0,6253,5.150584482981535e-07
0,6254,5.150586244124849e-07
0,6255,5.151280306192325e-07
0,6256,2.1747130877481074e-06
0,6257,2.1747272707461993e-06
0,6258,2.1747287141595135e-06
0,6259,2.174727923400996e-06
0,6260,2.17472646829738e-06
0,6261,2.174723680920497e-06
0,6262,2.1747182695150153e-06
0,6263,2.1747051161813413e-06
0,6264,2.174699028411513e-06
0,6265,2.174681693068066e-06
0,6266,2.1746717522262964e-06
0,6267,2.1746688505675654e-06
0,6268,2.1746756382731627e-06
0,6269,2.17468951887209e-06
0,6270,2.174681231188833e-06
0,6271,1.2073120738702488e-06
0,6272,5.150650412548028e-07
0,6273,5.150584219909635e-07
0,6274,5.150580777054368e-07
0,6275,5.150579828069012e-07
0,6276,5.150579566741051e-07
0,6277,5.150579728147313e-07
0,6278,5.150580671491566e-07
0,6279,5.150586493903888e-07
0,6280,2.1746506816140276e-06
0,6281,2.174715952605764e-06
0,6282,2.1747182234156063e-06
0,6283,2.174717869955073e-06
0,6284,2.1747164145387732e-06
0,6285,2.174713054334948e-06
0,6286,2.1747072748567065e-06
0,6287,2.1746903107963417e-06
0,6288,2.174664656364204e-06
0,6289,2.174645846461133e-06
0,6290,2.1746622555253448e-06
0,6291,2.1746730520608853e-06
0,6292,2.174680202906556e-06
