STO,T,value
1,193,5990.472861463709
1,194,5990.47286137409
1,195,5990.472861284468
1,196,5990.472861194843
1,197,5990.472861105215
1,198,5990.472861015583
1,199,5990.47286092592
1,200,3.742045166308782e-06
1,201,3.5800672026037143e-06
1,202,3.483519472825304e-06
1,203,3.3830005121836433e-06
1,204,3.278106627353436e-06
1,205,3.1683603251022284e-06
1,206,3.053186530927246e-06
1,207,2.931888148547182e-06
1,208,2.8036011490073162e-06
1,209,2.6672337783612866e-06
1,210,2.5213838226478304e-06
1,211,2.3641698361138476e-06
1,212,2.192997904926046e-06
1,213,2.0040848320035127e-06
1,214,1.7917125437925344e-06
1,215,1.7765951662914586e-06
1,216,1.773041969221987e-06
1,217,1.7807309944670516e-06
1,218,1.8015063529338172e-06
1,219,1.8407805515480071e-06
1,220,1.9135849112657775e-06
1,221,2.081853553089017e-06
1,222,5903.726024077268
1,223,7553.809873906319
1,224,7447.378371024155
1,225,7338.476223151856
1,226,7227.961095893317
1,227,7116.597109440454
1,228,7007.104671024712
1,229,6897.633747994112
1,230,6782.148566340828
1,231,6663.576533252789
1,232,6542.6610650775565
1,233,6418.755429902306
1,234,6292.525361694671
1,235,6163.790118693464
1,236,6033.309834632388
1,237,5901.416939407098
1,238,5767.034436143388
1,239,5631.287983670678
1,240,5496.10660109128
1,241,5356.471858240013
1,242,5214.149337578173
1,243,5068.885275371068
1,244,4919.942037246438
1,245,4764.031945134521
1,246,4603.391618741204
1,247,4431.427933247169
1,248,4250.645655032823
1,249,4062.4627246164678
1,250,3867.309283243436
1,251,3665.501725997171
1,252,3462.3479297978865
1,253,3260.077230383134
1,254,3026.938706700339
1,255,2760.8032693213195
1,256,2462.834393728328
1,257,2136.975109122761
1,258,1761.0612702802694
1,259,1416.5117125385716
1,260,1416.5117125199329
1,261,1416.5117125145864
1,262,1416.5117125216998
1,263,1416.5117125433756
1,264,3930.1955335655894
1,265,10180.850021087996
1,266,17425.902847260946
1,267,40420.565677814775
1,268,61776.21029600549
1,269,76220.52074771708
1,270,76482.79193233693
1,271,76310.68110644667
1,272,76193.29503126383
1,273,76099.52446581415
1,274,76019.3357260006
1,275,75948.02029133517
1,276,75883.49868641667
1,277,75824.05322855046
1,278,75768.21616053785
1,279,75715.40723395848
1,280,75665.81024288526
1,281,75618.63012769472
1,282,75574.58440309917
1,283,75574.58440306287
1,284,75574.58440304433
1,285,75574.58440303907
1,286,75574.58440304628
1,287,75574.58440306809
1,288,75574.58440311166
1,289,75574.58440319994
1,290,75574.58440348298
1,291,76663.49599171919
1,292,76663.49599168675
1,293,76663.49599168224
1,294,76663.49599169992
1,295,73265.48795775016
1,296,53107.34623141566
1,297,31217.785334791304
1,298,12185.64538932868
1,299,11546.869822146899
1,300,11546.86982208488
1,301,11546.869822051547
1,302,11546.869822034492
1,303,7566.348111688783
1,304,2119.54664040926
1,305,9.570383529952295e-08
1,306,1.0653492056712603e-07
1,307,1.1112439196084257e-07
1,308,9.799570547389179e-08
1,309,8.850897701510592e-08
1,310,6.599366998562923e-08
1,311,1.7474305457238665e-09
1,312,1887.325743231643
1,313,11929.927525163484
1,314,27719.808732024187
1,315,46033.535987392424
1,316,63068.87611494261
1,317,75615.66532939723
1,318,76663.49599177144
1,319,57857.73323649238
1,320,36366.33986351958
1,321,36366.339863341935
1,322,36366.33986326475
1,323,36366.339863223264
1,324,36366.339863202054
1,325,36366.33986319597
1,326,35710.952619704214
1,327,26244.285737274196
1,328,13942.495155956722
1,329,2973.944648942886
1,330,4.8199458643927325e-08
1,331,7.091357790870801e-08
1,332,6.318528599259256e-08
1,333,2.1659059205770532e-09
1,334,1253.6621884597605
1,335,9192.62740656901
1,336,22291.397453265887
1,337,35913.995828141866
1,338,48703.65771248766
1,339,60856.25594165289
1,340,71082.31997338656
1,341,76663.49599177108
1,342,76663.49599176671
1,343,72977.36943613237
1,344,71377.79011825788
1,345,71377.79011810187
1,346,71377.79011803409
1,347,71377.79011799765
1,348,71377.79011797902
1,349,71377.79011797368
1,350,71169.39205440436
1,351,70443.64333533708
1,352,69829.80785132901
1,353,69251.5670290053
1,354,68732.53049741624
1,355,68616.97859199633
1,356,68616.9785919777
1,357,68616.97859197238
1,358,68616.9785919795
1,359,68616.97859200121
1,360,69219.1797570447
1,361,69272.1993805872
1,362,69272.19938086151
1,363,75963.79589182005
1,364,76663.4959913912
1,365,76663.49599102617
1,366,76663.49599079018
1,367,76663.495990606
1,368,63718.23266975982
1,369,51747.66305803208
1,370,44322.490717856235
1,371,43829.90648445499
1,372,43829.90648430057
1,373,43829.90648414616
1,374,43138.54229789837
1,375,26378.059110390794
1,376,3817.503832191732
1,377,4.960353530013457e-06
1,378,4.799651002776635e-06
1,379,4.632173651846448e-06
1,380,4.457027541808489e-06
1,381,4.43637893452354e-06
1,382,4.428801397173346e-06
1,383,4.4330471971922025e-06
1,384,4.450397805805251e-06
1,385,4.485728062155088e-06
1,386,4.553152482224786e-06
1,387,4.7113930754837455e-06
1,388,3557.103470223377
1,389,10771.655851814858
1,390,13503.792720687705
1,391,13503.792720412355
1,392,13503.79272013696
1,393,13503.792719861556
1,394,13503.792719586161
1,395,13503.792719310752
1,396,13503.792719035335
1,397,13503.792718759898
1,398,13503.79271848444
1,399,13503.79271820896
1,400,13503.792717933453
1,401,13503.792717657821
1,402,13503.792717382325
1,403,13503.792717106826
1,404,13503.792716831345
1,405,13503.792716832904
1,406,13503.792716848933
1,407,13503.792716884129
1,408,13503.792716953134
1,409,16095.974865239521
1,410,20442.966609577557
1,411,24824.55506897136
1,412,43551.66006498529
1,413,58005.83725629514
1,414,70803.58196906846
1,415,76663.49599160037
1,416,76663.49599150984
1,417,76663.49599145223
1,418,76663.49599141073
1,419,76663.49599137952
1,420,76663.49599135587
1,421,76663.49599133826
1,422,76663.49599132579
1,423,76663.49599131795
1,424,76663.49599131438
1,425,76663.49599122086
1,426,76663.49599118157
1,427,76663.49599116479
1,428,76663.49599116348
1,429,76663.4959911777
1,430,76663.49599119574
1,431,76663.49599121814
1,432,76663.49599124554
1,433,76663.49599127905
1,434,76663.49599132033
1,435,76663.49599137227
1,436,76663.49599144071
1,437,76663.49599154112
1,438,76663.49599176508
1,439,73618.45558120412
1,440,58712.83280390285
1,441,43555.29242936541
1,442,32412.15916538259
1,443,20214.204074905243
1,444,14821.645192534621
1,445,13455.470051265353
1,446,11723.896689757614
1,447,10623.37958923368
1,448,8363.139825825368
1,449,3284.32220705414
1,450,2.1066808096183534e-07
1,451,2.0038612935915022e-07
1,452,1.9344784494702946e-07
1,453,1.8947973122584853e-07
1,454,1.8828106105304478e-07
1,455,522.212293941323
1,456,8529.761525315274
1,457,18453.114781861124
1,458,28838.617304302024
1,459,38794.34621717577
1,460,60425.54688299826
1,461,76369.05713859257
1,462,76663.49599173416
1,463,58535.00431481508
1,464,40648.03968436245
1,465,27316.117151706123
1,466,23157.021065726458
1,467,23157.02106571223
1,468,23157.02106570815
1,469,23157.02106571358
1,470,23157.021065730125
1,471,22631.321688449047
1,472,14131.414574466433
1,473,2689.377283287481
1,474,2.5071250606177944e-08
1,475,3.7592900466081936e-08
1,476,2.013317996948363e-08
1,477,167.16574378063768
1,478,4216.613151896659
1,479,9240.110370949202
1,480,14043.758457882037
1,481,18752.144887251892
1,482,23111.96927432186
1,483,27142.148819801612
1,484,30762.11181062054
1,485,33671.77837441468
1,486,35555.00088369478
1,487,35555.0008837214
1,488,35555.000883751105
1,489,35555.000883809036
1,490,35555.000883946384
1,491,36705.56213030039
1,492,38932.24818223453
1,493,41173.247685546
1,494,42802.77621850887
1,495,42802.77621842693
1,496,41478.8885636865
1,497,35478.67696544133
1,498,35478.67696543184
1,499,35478.67696543356
1,500,35478.676965447245
1,501,35478.67696547697
1,502,36492.638826714836
1,503,38585.98385685316
1,504,41489.169996009274
1,505,46462.64063122233
1,506,52247.5442425126
1,507,58269.51804566694
1,508,64571.83003490428
1,509,70358.54748940175
1,510,76663.4959917662
1,511,76663.49599173872
1,512,72145.27232993481
1,513,64939.940424353445
1,514,57655.67297646013
1,515,48827.91218585342
1,516,45192.13966072166
1,517,45015.597047599265
1,518,41165.615299746045
1,519,30374.835635328825
1,520,28271.599332614533
1,521,19022.406789842462
1,522,13790.637102866192
1,523,13790.637102848243
1,524,13790.637102840703
1,525,13790.637102842073
1,526,13790.637102852943
1,527,13790.63710287654
1,528,13790.63710292262
1,529,16950.845811308667
1,530,23417.451446102754
1,531,44714.04009852474
1,532,63816.440830135834
1,533,76663.4959916292
1,534,76663.49599165036
1,535,64078.77862689121
1,536,52973.19722325715
1,537,41847.17174426905
1,538,32729.81133880645
1,539,26699.7615986487
1,540,26699.76159863563
1,541,26699.761598631885
1,542,26699.761598636887
1,543,26699.761598652112
1,544,19542.8201440823
1,545,6910.251728400247
1,546,4.5219519190162476e-08
1,547,4.7746358616709665e-08
1,548,5.97111417856706e-08
1,549,6.027133245763058e-08
1,550,4.923573350155893e-08
1,551,1.1588521351725556e-08
1,552,1050.5185180402848
1,553,6600.530904462195
1,554,14888.447890885303
1,555,25095.8717203103
1,556,35115.59645116901
1,557,43689.59160955663
1,558,46884.66252327074
1,559,42970.200820315586
1,560,28190.90748745111
1,561,9720.813995569275
1,562,9720.813995428789
1,563,9720.813995367755
1,564,9720.813995334951
1,565,10167.776696005725
1,566,10167.776696000914
1,567,10167.776696007315
1,568,10167.77669592541
1,569,10065.870068375087
1,570,10003.521791347464
1,571,10003.521791337977
1,572,10003.521791339703
1,573,10003.521791353396
1,574,10003.521791383117
1,575,11223.727062098766
1,576,13840.52420653178
1,577,19442.348960900395
1,578,24869.103785950563
1,579,29984.688806580605
1,580,34748.6341469374
1,581,39066.50926172713
1,582,43051.68542184246
1,583,46420.818690026346
1,584,48910.15417317088
1,585,50768.827425919575
1,586,52426.66943271898
1,587,53375.38800619851
1,588,54812.50595705579
1,589,57057.72421585771
1,590,59152.460199730136
1,591,59089.94865011152
1,592,51307.46996982193
1,593,45705.91413760366
1,594,37897.7710633146
1,595,35080.59399530333
1,596,35080.59399528655
1,597,35080.59399528174
1,598,35080.593995288145
1,599,35080.59399530767
1,600,36664.688296741784
1,601,39811.820790690384
1,602,42989.85540722545
1,603,55207.72496374575
1,604,67343.09750534857
1,605,76663.49599176475
1,606,76660.0293892662
1,607,63825.175746384535
1,608,51798.17503848345
1,609,41630.2454057842
1,610,34744.48664678764
1,611,30029.164067418264
1,612,29371.03000300151
1,613,29371.03000300694
1,614,28478.469134983916
1,615,24514.992323866256
1,616,16389.69883186007
1,617,4965.538939504683
1,618,2.8195956251761216e-08
1,619,4.8709883644885586e-08
1,620,4.787242571093278e-08
1,621,2.2841180210136914e-08
1,622,2.2863736649189918e-07
1,623,3.2349470620838833e-07
1,624,3.881710639007667e-07
1,625,4.3706209976320746e-07
1,626,4.7564993310293983e-07
1,627,5.066807652676151e-07
1,628,5.317423099267552e-07
1,629,5.518340269408282e-07
1,630,5.676180295432695e-07
1,631,5.795422564912377e-07
1,632,5.616330315607069e-07
1,633,5.528410158887843e-07
1,634,5.52326530635556e-07
1,635,5.502574672381624e-07
1,636,5.446830032333977e-07
1,637,5.3545731234627e-07
1,638,5.223238975422297e-07
1,639,5.048814507216241e-07
1,640,4.825211507914124e-07
1,641,4.543109944438401e-07
1,642,4.187634944996326e-07
1,643,3.7330032746278694e-07
1,644,3.127983785080864e-07
1,645,2.2398811922396365e-07
1,646,3.6552140620331594e-08
1,647,1.2006433887766922e-07
1,648,1.7911514358642387e-07
1,649,2.3794848293278337e-07
1,650,4409.010462211538
1,651,13696.408847784494
1,652,25749.73956217318
1,653,59445.11150118442
1,654,76663.49599174874
1,655,74256.4491029265
1,656,59548.047960529795
1,657,41358.36540292209
1,658,22108.759323756523
1,659,6513.086227691155
1,660,257.50954964952035
1,661,1.0598019658746062e-08
1,662,4.0590717511040236e-07
1,663,2214.663336598844
1,664,3231.9886432573967
1,665,3.41522964993185e-08
1,666,6.98709412004278e-08
1,667,6.527194221899455e-08
1,668,2.3398145748162185e-09
1,669,754.6394544825393
1,670,2268.9086671532455
1,671,8905.400012249458
1,672,21715.9165597082
1,673,34765.439304240004
1,674,47239.82905021507
1,675,59059.0590856287
1,676,69482.5753643257
1,677,76663.49599177072
1,678,71086.66365053113
1,679,48222.117985346114
1,680,42184.48623608736
1,681,37723.91121790375
1,682,35148.43040225975
1,683,32896.09745584329
1,684,32896.09745583494
1,685,32896.09745584606
1,686,32896.097455879935
1,687,32866.02987149374
1,688,24908.285341627165
1,689,8592.025859783631
1,690,6.072070428612248e-08
1,691,1.1031882362820772e-07
1,692,1.1963732533649767e-07
1,693,9.80075724806858e-08
1,694,3.0380482420881235e-09
1,695,559.2021118627434
1,696,6815.263694107119
1,697,17810.17795062446
1,698,32424.7774713175
1,699,48135.857605747566
1,700,64583.4512646556
1,701,75989.75343460152
1,702,76663.49599177005
1,703,76663.49599160072
1,704,76155.46626793782
1,705,76155.46626794133
1,706,76155.46626797029
1,707,76155.46626803331
1,708,76155.46626815629
1,709,76155.46626844781
1,710,76663.4959917698
1,711,69016.23842125702
1,712,47475.203034059676
1,713,20332.507200145767
1,714,2329.0906379333755
1,715,3.2820490274468668e-09
